scenario,sharpe_valid,far_target,method_a,method_b,n_paired_paths,trunc_time_a,trunc_time_b,trunc_time_diff_days,trunc_time_diff_lo,trunc_time_diff_hi,excludes_zero,interval_covers,reading
jump_ctrl,0.6,0.15,ewma_trunc_student_t,ewma_student_t,10000,421.8729,422.5511,-0.6782,-1.264733099003336,-0.09166690099666397,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
jump_ctrl,0.6,0.15,ewma_trunc_student_t,trailing_sharpe_252,10000,421.8729,444.206,-22.3331,-24.330248640599283,-20.33595135940072,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump,1.0,0.05,ewma_student_t,binary_student_t,10000,379.8572,414.414,-34.5568,-37.05112521453493,-32.06247478546508,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump,1.0,0.05,ewma_trunc_student_t,ewma_student_t,10000,375.8377,379.8572,-4.0195,-4.893407331296553,-3.1455926687034466,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump,1.0,0.05,ewma_trunc_student_t,trailing_sharpe_252,10000,375.8377,451.6082,-75.7705,-78.46831190909393,-73.07268809090607,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump,1.0,0.15,ewma_student_t,binary_student_t,10000,291.2936,320.9446,-29.651,-32.367163553044605,-26.934836446955394,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump,1.0,0.15,ewma_trunc_student_t,ewma_student_t,10000,287.6533,291.2936,-3.6403,-4.622870672296542,-2.657729327703458,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump,1.0,0.15,ewma_trunc_student_t,trailing_sharpe_252,10000,287.6533,399.058,-111.4047,-114.44590751985686,-108.36349248014315,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump,0.6,0.05,ewma_student_t,binary_student_t,10000,451.1507,466.0759,-14.9252,-16.876529001833195,-12.973870998166806,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump,0.6,0.05,ewma_trunc_student_t,ewma_student_t,10000,448.8134,451.1507,-2.3373,-3.0884759350444337,-1.5861240649555661,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump,0.6,0.05,ewma_trunc_student_t,trailing_sharpe_252,10000,448.8134,477.2649,-28.4515,-30.45554180440436,-26.44745819559564,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump,0.6,0.15,ewma_student_t,binary_student_t,10000,380.2801,402.6758,-22.3957,-25.025035377087434,-19.76636462291257,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump,0.6,0.15,ewma_trunc_student_t,ewma_student_t,10000,378.1779,380.2801,-2.1022,-3.0695493435625236,-1.1348506564374758,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump,0.6,0.15,ewma_trunc_student_t,trailing_sharpe_252,10000,378.1779,438.5347,-60.3568,-63.14124700212454,-57.57235299787546,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump_big,1.0,0.05,ewma_student_t,binary_student_t,10000,354.9152,390.785,-35.8698,-38.542376216931146,-33.19722378306885,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump_big,1.0,0.05,ewma_trunc_student_t,ewma_student_t,10000,345.9322,354.9152,-8.983,-10.23219637785769,-7.733803622142312,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump_big,1.0,0.05,ewma_trunc_student_t,trailing_sharpe_252,10000,345.9322,445.8262,-99.894,-102.75554826083419,-97.03245173916582,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump_big,1.0,0.15,ewma_student_t,binary_student_t,10000,270.486,290.4309,-19.9449,-22.715631445608864,-17.174168554391137,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump_big,1.0,0.15,ewma_trunc_student_t,ewma_student_t,10000,262.3442,270.486,-8.1418,-9.410689769738987,-6.872910230261014,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump_big,1.0,0.15,ewma_trunc_student_t,trailing_sharpe_252,10000,262.3442,396.8503,-134.5061,-137.609722251383,-131.402477748617,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump_big,0.6,0.05,ewma_student_t,binary_student_t,10000,436.7419,458.231,-21.4891,-23.70793834971567,-19.270261650284333,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump_big,0.6,0.05,ewma_trunc_student_t,ewma_student_t,10000,433.9249,436.7419,-2.817,-3.8697034236466337,-1.764296576353367,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump_big,0.6,0.05,ewma_trunc_student_t,trailing_sharpe_252,10000,433.9249,474.9148,-40.9899,-43.2417269056822,-38.7380730943178,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump_big,0.6,0.15,ewma_student_t,binary_student_t,10000,368.1086,383.7942,-15.6856,-18.48966480308682,-12.88153519691318,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump_big,0.6,0.15,ewma_trunc_student_t,ewma_student_t,10000,364.8456,368.1086,-3.263,-4.58451560369121,-1.9414843963087902,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
sv_jump_big,0.6,0.15,ewma_trunc_student_t,trailing_sharpe_252,10000,364.8456,436.0839,-71.2383,-74.12370720322497,-68.35289279677502,True,"test sampling only, thresholds frozen",an interval containing zero does not establish equivalence
