group,detector,far_target,post_window_days,usable_post_failure_days,n_paths,mean_T,pre_failure_false_alarm_rate,n_survived_to_failure,frac_survived_to_failure,cond_detect_h126,uncond_detect_h126,n_cond_detect_h126,cond_detect_h252,uncond_detect_h252,n_cond_detect_h252,cond_detect_h504,uncond_detect_h504,n_cond_detect_h504,trunc_post_failure_delay_days,trunc_post_failure_delay_se,undetected_at_end_given_survived,median_post_failure_delay_days,median_post_failure_delay_note,matched_threshold,matched_target_pre_fa,target_continuation_fa,achieved_continuation_fa,max_reachable_continuation_fa
fixed_T=252,binary_student_t,0.15,504,504,2000,252.0,0.0825,1835,0.9175,0.09645776566757493,0.0885,177,0.20544959128065396,0.1885,377,0.3978201634877384,0.365,730,400.85449591280656,3.6080394445069364,0.6021798365122616,,not reached: only 39.8% of survivors detected within 504d after failure,,,,,
fixed_T=252,trailing_sharpe_252,0.05,504,504,2000,252.0,0.0075,1985,0.9925,0.058438287153652395,0.058,116,0.16876574307304787,0.1675,335,0.37984886649874056,0.377,754,415.82468513853905,3.0943568691511336,0.6201511335012595,,not reached: only 38.0% of survivors detected within 504d after failure,,,,,
fixed_T=252,trailing_sharpe_252,0.15,504,504,2000,252.0,0.027,1946,0.973,0.1474820143884892,0.1435,287,0.3473792394655704,0.338,676,0.6248715313463515,0.608,1216,336.9578622816033,3.753032806279532,0.37512846865364846,362,,,,,,
fixed_T=252,known_vol_rolling_252,0.05,504,504,2000,252.0,0.0075,1985,0.9925,0.06498740554156171,0.0645,129,0.1743073047858942,0.173,346,0.3863979848866499,0.3835,767,413.7022670025189,3.1371641064517677,0.6136020151133501,,not reached: only 38.6% of survivors detected within 504d after failure,,,,,
fixed_T=252,known_vol_rolling_252,0.15,504,504,2000,252.0,0.0265,1947,0.9735,0.14740626605033386,0.1435,287,0.3502824858757062,0.341,682,0.6266050333846944,0.61,1220,336.7632254750899,3.757312147761747,0.3733949666153056,362,,,,,,
fixed_T=756,binary_gaussian,0.05,504,504,2000,756.0,0.071,1858,0.929,0.011840688912809472,0.011,22,0.04951560818083961,0.046,92,0.14477933261571582,0.1345,269,474.8928955866523,1.9782032705769588,0.8552206673842842,,not reached: only 14.5% of survivors detected within 504d after failure,,,,,
fixed_T=756,binary_gaussian,0.15,504,504,2000,756.0,0.183,1634,0.817,0.02937576499388005,0.024,48,0.0777233782129743,0.0635,127,0.18849449204406366,0.154,308,462.0563035495716,2.623084671092182,0.8115055079559363,,not reached: only 18.8% of survivors detected within 504d after failure,,,,,
fixed_T=756,binary_student_t,0.05,504,504,2000,756.0,0.075,1850,0.925,0.01945945945945946,0.018,36,0.05189189189189189,0.048,96,0.1508108108108108,0.1395,279,472.4902702702703,2.091098655945785,0.8491891891891892,,not reached: only 15.1% of survivors detected within 504d after failure,,,,,
fixed_T=756,binary_student_t,0.15,504,504,2000,756.0,0.1935,1613,0.8065,0.030998140111593304,0.025,50,0.07935523868567886,0.064,128,0.19094854308741477,0.154,308,460.97954122752634,2.644916533061377,0.8090514569125853,,not reached: only 19.1% of survivors detected within 504d after failure,,,,,
fixed_T=756,trailing_sharpe_252,0.05,504,504,2000,756.0,0.09,1820,0.91,0.046153846153846156,0.042,84,0.17252747252747253,0.157,314,0.3741758241758242,0.3405,681,418.97197802197803,3.160958801716936,0.6258241758241758,,not reached: only 37.4% of survivors detected within 504d after failure,,,,,
fixed_T=756,trailing_sharpe_252,0.15,504,504,2000,756.0,0.25,1500,0.75,0.12666666666666668,0.095,190,0.358,0.2685,537,0.638,0.4785,957,338.85133333333334,4.166553176875577,0.362,365,,,,,,
fixed_T=756,known_vol_rolling_252,0.05,504,504,2000,756.0,0.095,1810,0.905,0.04861878453038674,0.044,88,0.17403314917127072,0.1575,315,0.37403314917127073,0.3385,677,418.4701657458564,3.1750052548561096,0.6259668508287293,,not reached: only 37.4% of survivors detected within 504d after failure,,,,,
fixed_T=756,known_vol_rolling_252,0.15,504,504,2000,756.0,0.2505,1499,0.7495,0.12808539026017346,0.096,192,0.35156771180787194,0.2635,527,0.6370913942628419,0.4775,955,340.2188125416945,4.170809026443897,0.3629086057371581,376,,,,,,
fixed_T=1260,binary_gaussian,0.05,504,504,2000,1260.0,0.0925,1815,0.9075,0.012121212121212121,0.011,22,0.03360881542699724,0.0305,61,0.08264462809917356,0.075,150,485.7404958677686,1.69789974611076,0.9173553719008265,,not reached: only 8.3% of survivors detected within 504d after failure,,,,,
fixed_T=1260,binary_gaussian,0.15,504,504,2000,1260.0,0.217,1566,0.783,0.018518518518518517,0.0145,29,0.041507024265644954,0.0325,65,0.0983397190293742,0.077,154,481.6558109833972,2.0345925956495305,0.9016602809706258,,not reached: only 9.8% of survivors detected within 504d after failure,,,,,
fixed_T=1260,binary_student_t,0.05,504,504,2000,1260.0,0.102,1796,0.898,0.01670378619153675,0.015,30,0.04120267260579064,0.037,74,0.09242761692650334,0.083,166,482.9109131403118,1.8565399926320099,0.9075723830734966,,not reached: only 9.2% of survivors detected within 504d after failure,,,,,
fixed_T=1260,binary_student_t,0.15,504,504,2000,1260.0,0.232,1536,0.768,0.01953125,0.015,30,0.0390625,0.03,60,0.09505208333333333,0.073,146,482.615234375,2.0104153766228667,0.9049479166666666,,not reached: only 9.5% of survivors detected within 504d after failure,,,,,
fixed_T=1260,trailing_sharpe_252,0.05,504,504,2000,1260.0,0.1635,1673,0.8365,0.04602510460251046,0.0385,77,0.15959354453078303,0.1335,267,0.3747758517632995,0.3135,627,419.93962940824866,3.2445363434276615,0.6252241482367005,,not reached: only 37.5% of survivors detected within 504d after failure,,,,,
fixed_T=1260,trailing_sharpe_252,0.15,504,504,2000,1260.0,0.4245,1151,0.5755,0.11902693310165074,0.0685,137,0.3466550825369244,0.1995,399,0.635968722849696,0.366,732,341.98957428323195,4.690078939635171,0.36403127715030403,372,,,,,,
fixed_T=1260,known_vol_rolling_252,0.05,504,504,2000,1260.0,0.1685,1663,0.8315,0.04810583283223091,0.04,80,0.16656644618159952,0.1385,277,0.38184004810583283,0.3175,635,418.04329524954903,3.288319200635421,0.6181599518941672,,not reached: only 38.2% of survivors detected within 504d after failure,,,,,
fixed_T=1260,known_vol_rolling_252,0.15,504,504,2000,1260.0,0.4225,1155,0.5775,0.12467532467532468,0.072,144,0.3463203463203463,0.2,400,0.6398268398268399,0.3695,739,341.32034632034635,4.698021542907847,0.36017316017316015,371,,,,,,
matched_preFA_T=252,binary_gaussian,0.15,504,504,2000,252.0,0.1595,1681,0.8405,0.13444378346222485,0.113,226,0.26174895895300415,0.22,440,0.45568114217727546,0.383,766,378.48423557406306,4.055013176699426,0.5443188578227245,,not reached: only 45.6% of survivors detected within 504d after failure,-1.0233461239858392,0.15,,,
matched_preFA_T=252,binary_student_t,0.15,504,504,2000,252.0,0.1685,1663,0.8315,0.12146722790138305,0.101,202,0.2561635598316296,0.213,426,0.4546001202645821,0.378,756,381.1118460613349,4.019151404814363,0.5453998797354179,,not reached: only 45.5% of survivors detected within 504d after failure,-1.243340661254986,0.15,,,
matched_preFA_T=252,trailing_sharpe_252,0.15,504,504,2000,252.0,0.1615,1677,0.8385,0.4358974358974359,0.3655,731,0.740608228980322,0.621,1242,0.9409660107334525,0.789,1578,180.66785927251044,3.499849701072044,0.05903398926654746,149,,0.00163467578322449,0.15,,,
matched_preFA_T=252,known_vol_rolling_252,0.15,504,504,2000,252.0,0.1615,1677,0.8385,0.4358974358974359,0.3655,731,0.740608228980322,0.621,1242,0.9409660107334525,0.789,1578,180.6577221228384,3.500061222295127,0.05903398926654746,149,,0.0018059043129695087,0.15,,,
matched_preFA_T=756,binary_gaussian,0.15,504,504,2000,756.0,0.164,1672,0.836,0.025717703349282296,0.0215,43,0.07236842105263158,0.0605,121,0.17763157894736842,0.1485,297,465.48265550239233,2.47755231003323,0.8223684210526316,,not reached: only 17.8% of survivors detected within 504d after failure,-1.4110207008535,0.15,,,
matched_preFA_T=756,binary_student_t,0.15,504,504,2000,756.0,0.1635,1673,0.8365,0.02630005977286312,0.022,44,0.07591153616258219,0.0635,127,0.18589360430364615,0.1555,311,462.7112970711297,2.517602169045807,0.8141063956963539,,not reached: only 18.6% of survivors detected within 504d after failure,-1.7574329240780202,0.15,,,
matched_preFA_T=756,trailing_sharpe_252,0.15,504,504,2000,756.0,0.159,1682,0.841,0.07431629013079667,0.0625,125,0.2502972651605232,0.2105,421,0.4994054696789536,0.42,840,384.1087990487515,3.6568562931675226,0.5005945303210464,,not reached: only 49.9% of survivors detected within 504d after failure,-1.2130877689255135,0.15,,,
matched_preFA_T=756,known_vol_rolling_252,0.15,504,504,2000,756.0,0.159,1682,0.841,0.07372175980975029,0.062,124,0.24851367419738407,0.209,418,0.48989298454221164,0.412,824,385.45778834720574,3.654090833570384,0.5101070154577884,,not reached: only 49.0% of survivors detected within 504d after failure,-1.2162183305952854,0.15,,,
matched_preFA_T=1260,binary_gaussian,0.15,504,504,2000,1260.0,0.152,1696,0.848,0.013561320754716982,0.0115,23,0.03773584905660377,0.032,64,0.09492924528301887,0.0805,161,483.688679245283,1.8240487432188914,0.9050707547169812,,not reached: only 9.5% of survivors detected within 504d after failure,-1.5885553623951032,0.15,,,
matched_preFA_T=1260,binary_student_t,0.15,504,504,2000,1260.0,0.157,1686,0.843,0.01601423487544484,0.0135,27,0.037366548042704624,0.0315,63,0.09311981020166074,0.0785,157,482.8244365361803,1.899386581303915,0.9068801897983393,,not reached: only 9.3% of survivors detected within 504d after failure,-1.9955367829736463,0.15,,,
matched_preFA_T=1260,trailing_sharpe_252,0.15,504,504,2000,1260.0,0.143,1714,0.857,0.045507584597432905,0.039,78,0.1528588098016336,0.131,262,0.3558926487747958,0.305,610,424.1196032672112,3.163356157704589,0.6441073512252042,,not reached: only 35.6% of survivors detected within 504d after failure,-1.5372211746797413,0.15,,,
matched_preFA_T=1260,known_vol_rolling_252,0.15,504,504,2000,1260.0,0.1495,1701,0.8505,0.04526748971193416,0.0385,77,0.15461493239271018,0.1315,263,0.36155202821869487,0.3075,615,423.445620223398,3.1768745339997246,0.6384479717813052,,not reached: only 36.2% of survivors detected within 504d after failure,-1.520451605875957,0.15,,,
matched_contFA_T=252,binary_gaussian,0.17716049382716048,504,504,2000,252.0,0.467,1066,0.533,0.175422138836773,0.0935,187,0.3123827392120075,0.1665,333,0.5365853658536586,0.286,572,353.5731707317073,5.376200840545344,0.46341463414634143,461,,-0.4749547014201219,,0.17716049382716048,0.17715305667112896,0.18077601410934743
matched_contFA_T=252,binary_student_t,0.17716049382716048,504,504,2000,252.0,0.4265,1147,0.5735,0.16216216216216217,0.093,186,0.3077593722755013,0.1765,353,0.5178727114210985,0.297,594,358.4298169136879,5.143337179723796,0.4821272885789015,482,,-0.6329526387771576,,0.17716049382716048,0.17715019255455713,0.1883148237566393
matched_contFA_T=252,trailing_sharpe_252,0.17716049382716048,504,504,2000,252.0,0.0205,1959,0.9795,0.12302194997447677,0.1205,241,0.3037263910158244,0.2975,595,0.5717202654415519,0.56,1120,357.40020418580906,3.6586495806809496,0.42827973455844814,423,,-1.0832831350492715,,0.17716049382716048,0.17711518858307848,0.8653437278525868
matched_contFA_T=252,known_vol_rolling_252,0.17716049382716048,504,504,2000,252.0,0.021,1958,0.979,0.12461695607763024,0.122,244,0.30439223697650664,0.298,596,0.5755873340143003,0.5635,1127,356.28958120531155,3.6572870927212353,0.4244126659856997,418,,-1.06752958229419,,0.17716049382716048,0.1770249617931737,0.8652004256828663
matched_contFA_T=756,binary_gaussian,0.05268421052631579,504,504,2000,756.0,0.487,1026,0.513,0.05458089668615984,0.028,56,0.11403508771929824,0.0585,117,0.2553606237816764,0.131,262,445.26413255360626,3.9025966313416918,0.7446393762183237,,not reached: only 25.5% of survivors detected within 504d after failure,-0.5806461562904958,,0.05268421052631579,0.05268109125117592,0.053759398496240604
matched_contFA_T=756,binary_student_t,0.05268421052631579,504,504,2000,756.0,0.4995,1001,0.5005,0.04295704295704296,0.0215,43,0.1028971028971029,0.0515,103,0.23176823176823177,0.116,232,452.06193806193806,3.6771161222979205,0.7682317682317682,,not reached: only 23.2% of survivors detected within 504d after failure,-0.7061165533723467,,0.05268421052631579,0.05268245529241179,0.056231640788921525
matched_contFA_T=756,trailing_sharpe_252,0.05268421052631579,504,504,2000,756.0,0.0585,1883,0.9415,0.030801911842804036,0.029,58,0.1210833775889538,0.114,228,0.2873074880509825,0.2705,541,440.63462559745085,2.7616471085259264,0.7126925119490175,,not reached: only 28.7% of survivors detected within 504d after failure,-1.6946516723500655,,0.05268421052631579,0.05263157894736842,0.4572713643178411
matched_contFA_T=756,known_vol_rolling_252,0.05268421052631579,504,504,2000,756.0,0.0605,1879,0.9395,0.027142096860031932,0.0255,51,0.11335816923895689,0.1065,213,0.28100053219797766,0.264,528,443.4284193720064,2.6979016670594422,0.7189994678020224,,not reached: only 28.1% of survivors detected within 504d after failure,-1.683309573205935,,0.05268421052631579,0.05256207078711041,0.4577711144427786
matched_contFA_T=1260,binary_gaussian,0.02454794520547945,504,504,2000,1260.0,0.3735,1253,0.6265,0.015163607342378291,0.0095,19,0.04389465283320032,0.0275,55,0.12370311252992817,0.0775,155,479.8818834796488,2.2678928786757675,0.8762968874700718,,not reached: only 12.4% of survivors detected within 504d after failure,-0.8592900925058905,,0.02454794520547945,0.0245136186770428,0.025048923679060666
matched_contFA_T=1260,binary_student_t,0.02454794520547945,504,504,2000,1260.0,0.2455,1509,0.7545,0.017892644135188866,0.0135,27,0.0390987408880053,0.0295,59,0.09476474486414845,0.0715,143,482.4042412193506,2.048663645463362,0.9052352551358516,,not reached: only 9.5% of survivors detected within 504d after failure,-1.5674865111618512,,0.02454794520547945,0.02438241899262111,0.031984007996002
matched_contFA_T=1260,trailing_sharpe_252,0.02454794520547945,504,504,2000,1260.0,0.038,1924,0.962,0.015592515592515593,0.015,30,0.05145530145530146,0.0495,99,0.14812889812889812,0.1425,285,473.11486486486484,1.9843633599640311,0.8518711018711018,,not reached: only 14.8% of survivors detected within 504d after failure,-2.0725348948380686,,0.02454794520547945,0.024174681570054587,0.2909815645241654
matched_contFA_T=1260,known_vol_rolling_252,0.02454794520547945,504,504,2000,1260.0,0.038,1924,0.962,0.015592515592515593,0.015,30,0.0498960498960499,0.048,96,0.14604989604989604,0.1405,281,473.56081081081084,1.9680464397769935,0.853950103950104,,not reached: only 14.6% of survivors detected within 504d after failure,-2.0507495263772313,,0.02454794520547945,0.02442192777344765,0.28507239141288065
contFA0.02_T=0,binary_gaussian,0.02,504,504,2000,0.0,0.0,2000,1.0,0.001,0.001,2,0.043,0.043,86,0.2425,0.2425,485,466.778,1.7955360851056315,0.7575000000000001,,not reached: only 24.2% of survivors detected within 504d after failure,-2.4274767199391682,,0.02,0.02,0.99975
contFA0.02_T=0,binary_student_t,0.02,504,504,2000,0.0,0.0,2000,1.0,0.0025,0.0025,5,0.046,0.046,92,0.245,0.245,490,464.936,1.8579063108590712,0.755,,not reached: only 24.5% of survivors detected within 504d after failure,-2.8640329264583007,,0.02,0.02,0.99975
contFA0.02_T=0,trailing_sharpe_252,0.02,504,253,2000,0.0,0.0,2000,1.0,0.0,0.0,0,0.038,0.038,76,0.2085,0.2085,417,468.893,1.7201656200436604,0.7915,,not reached: only 20.8% of survivors detected within 504d after failure,-1.7768059176983406,,0.02,0.02,0.99975
contFA0.02_T=0,known_vol_rolling_252,0.02,504,253,2000,0.0,0.0,2000,1.0,0.0,0.0,0,0.0395,0.0395,79,0.209,0.209,418,469.067,1.7173884147109795,0.791,,not reached: only 20.9% of survivors detected within 504d after failure,-1.7752792895304599,,0.02,0.02,0.99975
contFA0.02_T=252,binary_gaussian,0.02,504,504,2000,252.0,0.0025,1995,0.9975,0.011528822055137845,0.0115,23,0.042606516290726815,0.0425,85,0.1518796992481203,0.1515,303,476.99649122807017,1.7821840286643955,0.8481203007518797,,not reached: only 15.2% of survivors detected within 504d after failure,-2.710166156301764,,0.02,0.019774718397997496,0.18077601410934743
contFA0.02_T=252,binary_student_t,0.02,504,504,2000,252.0,0.002,1996,0.998,0.012525050100200401,0.0125,25,0.04759519038076152,0.0475,95,0.14879759519038077,0.1485,297,476.40430861723445,1.8249257854820258,0.8512024048096192,,not reached: only 14.9% of survivors detected within 504d after failure,-3.2597705158255383,,0.02,0.019789579158316632,0.1883148237566393
contFA0.02_T=252,trailing_sharpe_252,0.02,504,504,2000,252.0,0.001,1998,0.999,0.018518518518518517,0.0185,37,0.062062062062062065,0.062,124,0.15365365365365366,0.1535,307,471.2027027027027,2.0651720674360634,0.8463463463463463,,not reached: only 15.4% of survivors detected within 504d after failure,-2.067541207249307,,0.02,0.01951951951951952,0.8653437278525868
contFA0.02_T=252,known_vol_rolling_252,0.02,504,504,2000,252.0,0.001,1998,0.999,0.02002002002002002,0.02,40,0.06456456456456457,0.0645,129,0.15615615615615616,0.156,312,470.05355355355357,2.1099669525501494,0.8438438438438438,,not reached: only 15.6% of survivors detected within 504d after failure,-2.040332123492331,,0.02,0.01951951951951952,0.8652004256828663
contFA0.02_T=756,binary_gaussian,0.02,504,504,2000,756.0,0.044,1912,0.956,0.01202928870292887,0.0115,23,0.04184100418410042,0.04,80,0.12133891213389121,0.116,232,480.375,1.7773234688188817,0.8786610878661087,,not reached: only 12.1% of survivors detected within 504d after failure,-2.265777263999777,,0.02,0.019807140995569454,0.053759398496240604
contFA0.02_T=756,binary_student_t,0.02,504,504,2000,756.0,0.0275,1945,0.9725,0.008740359897172237,0.0085,17,0.0339331619537275,0.033,66,0.093573264781491,0.091,182,485.21491002570696,1.5906340988285401,0.906426735218509,,not reached: only 9.4% of survivors detected within 504d after failure,-3.217895585585335,,0.02,0.01997439180537772,0.056231640788921525
contFA0.02_T=756,trailing_sharpe_252,0.02,504,504,2000,756.0,0.028,1944,0.972,0.013374485596707819,0.013,26,0.058127572016460904,0.0565,113,0.15689300411522633,0.1525,305,471.2710905349794,2.0226377456481512,0.8431069958847737,,not reached: only 15.7% of survivors detected within 504d after failure,-2.0451690776186617,,0.02,0.01992337164750958,0.4572713643178411
contFA0.02_T=756,known_vol_rolling_252,0.02,504,504,2000,756.0,0.026,1948,0.974,0.012833675564681724,0.0125,25,0.060061601642710474,0.0585,117,0.16170431211498973,0.1575,315,470.7371663244353,2.0344815179767743,0.8382956878850103,,not reached: only 16.2% of survivors detected within 504d after failure,-2.017577449437344,,0.02,0.019657901455195304,0.4577711144427786
contFA0.02_T=1260,binary_gaussian,0.02,504,504,2000,1260.0,0.196,1608,0.804,0.018034825870646767,0.0145,29,0.041044776119402986,0.033,66,0.09639303482587065,0.0775,155,482.4241293532338,1.9735702024544723,0.9036069651741293,,not reached: only 9.6% of survivors detected within 504d after failure,-1.415650236718045,,0.02,0.019993848046754845,0.025048923679060666
contFA0.02_T=1260,binary_student_t,0.02,504,504,2000,1260.0,0.157,1686,0.843,0.01601423487544484,0.0135,27,0.037366548042704624,0.0315,63,0.09252669039145907,0.078,156,482.88196915776984,1.898836414857807,0.9074733096085409,,not reached: only 9.3% of survivors detected within 504d after failure,-1.9967406587919687,,0.02,0.019994119376653924,0.031984007996002
contFA0.02_T=1260,trailing_sharpe_252,0.02,504,504,2000,1260.0,0.025,1950,0.975,0.011282051282051283,0.011,22,0.038974358974358976,0.038,76,0.1158974358974359,0.113,226,480.0989743589744,1.7511926181572797,0.8841025641025642,,not reached: only 11.6% of survivors detected within 504d after failure,-2.167056915038024,,0.02,0.01983513652756311,0.2909815645241654
contFA0.02_T=1260,known_vol_rolling_252,0.02,504,504,2000,1260.0,0.0285,1943,0.9715,0.014925373134328358,0.0145,29,0.0442614513638703,0.043,86,0.12969634585692227,0.126,252,477.031394750386,1.861766930251905,0.8703036541430778,,not reached: only 13.0% of survivors detected within 504d after failure,-2.1124623924950763,,0.02,0.019891500904159132,0.28507239141288065
random_T,binary_gaussian,0.05,504,504,5000,621.0178,0.0554,4723,0.9446,0.025195850095278426,0.0238,119,0.07241160279483379,0.0684,342,0.19585009527842473,0.185,925,463.571882278213,1.4601879794091155,0.8041499047215752,,not reached: only 19.6% of survivors detected within 504d after failure,,,,,
random_T,binary_gaussian,0.15,504,504,5000,621.0178,0.1402,4299,0.8598,0.055826936496859735,0.048,240,0.13538032100488487,0.1164,582,0.2844847638985811,0.2446,1223,436.1474761572459,1.980257848369248,0.715515236101419,,not reached: only 28.4% of survivors detected within 504d after failure,,,,,
random_T,binary_student_t,0.05,504,504,5000,621.0178,0.0576,4712,0.9424,0.02504244482173175,0.0236,118,0.06748726655348047,0.0636,318,0.1823005093378608,0.1718,859,466.27546689303904,1.4246597961997958,0.8176994906621392,,not reached: only 18.2% of survivors detected within 504d after failure,,,,,
random_T,binary_student_t,0.15,504,504,5000,621.0178,0.147,4265,0.853,0.05369284876905041,0.0458,229,0.1268464243845252,0.1082,541,0.27104337631887454,0.2312,1156,439.2208675263775,1.9577428392930487,0.7289566236811255,,not reached: only 27.1% of survivors detected within 504d after failure,,,,,
random_T,trailing_sharpe_252,0.05,504,253,5000,621.0178,0.0756,4622,0.9244,0.04045867589787971,0.0374,187,0.15382951103418432,0.1422,711,0.3693206404154046,0.3414,1707,423.3379489398529,1.8977188805994045,0.6306793595845954,,not reached: only 36.9% of survivors detected within 504d after failure,,,,,
random_T,trailing_sharpe_252,0.15,504,253,5000,621.0178,0.193,4035,0.807,0.11400247831474597,0.092,460,0.3333333333333333,0.269,1345,0.6322180916976456,0.5102,2551,346.09442379182155,2.475546568519084,0.36778190830235435,377,,,,,,
random_T,known_vol_rolling_252,0.05,504,253,5000,621.0178,0.0762,4619,0.9238,0.042866421303312405,0.0396,198,0.15696038103485602,0.145,725,0.37583892617449666,0.3472,1736,421.63758389261744,1.9185116953818988,0.6241610738255033,,not reached: only 37.6% of survivors detected within 504d after failure,,,,,
random_T,known_vol_rolling_252,0.15,504,253,5000,621.0178,0.1926,4037,0.8074,0.11270745603170672,0.091,455,0.33093881595243996,0.2672,1336,0.6326480059450087,0.5108,2554,346.46643547188506,2.472076322677868,0.3673519940549913,379,,,,,,
random_T[0-251],binary_gaussian,0.05,504,504,1039,125.98460057747835,0.007699711260827719,1031,0.9923002887391723,0.023278370514064017,0.023099133782483156,24,0.10863239573229874,0.10779595765158806,112,0.3239573229873909,0.32146294513955725,334,442.1755577109602,3.4788305693614037,0.6760426770126091,,not reached: only 32.4% of survivors detected within 504d after failure,,,,,
random_T[0-251],binary_gaussian,0.15,504,504,1039,125.98460057747835,0.02791145332050048,1010,0.9720885466794995,0.10693069306930693,0.1039461020211742,108,0.25643564356435644,0.2492781520692974,259,0.4871287128712871,0.4735322425409047,492,381.73960396039604,4.94496301813723,0.5128712871287129,,not reached: only 48.7% of survivors detected within 504d after failure,,,,,
random_T[0-251],binary_student_t,0.05,504,504,1039,125.98460057747835,0.0038498556304138597,1035,0.9961501443695862,0.02318840579710145,0.023099133782483156,24,0.09951690821256039,0.09913378248315688,103,0.29178743961352654,0.2906641000962464,302,448.0415458937198,3.4052200258382768,0.7082125603864735,,not reached: only 29.2% of survivors detected within 504d after failure,,,,,
random_T[0-251],binary_student_t,0.15,504,504,1039,125.98460057747835,0.026948989412897015,1011,0.973051010587103,0.10583580613254204,0.10298363811357074,107,0.23837784371909002,0.23195380173243504,241,0.466864490603363,0.4542829643888354,472,387.60138476755685,4.9047112190163515,0.533135509396637,,not reached: only 46.7% of survivors detected within 504d after failure,,,,,
random_T[0-251],trailing_sharpe_252,0.05,504,253,1039,125.98460057747835,0.0,1039,1.0,0.026948989412897015,0.026948989412897015,28,0.1530317613089509,0.1530317613089509,159,0.36573628488931664,0.36573628488931664,380,428.08662175168433,3.8013013292951094,0.6342637151106834,,not reached: only 36.6% of survivors detected within 504d after failure,,,,,
random_T[0-251],trailing_sharpe_252,0.15,504,253,1039,125.98460057747835,0.0,1039,1.0,0.06448508180943215,0.06448508180943215,67,0.29740134744947067,0.29740134744947067,309,0.6121270452358036,0.6121270452358036,636,362.451395572666,4.505143882209321,0.38787295476419636,397,,,,,,
random_T[0-251],known_vol_rolling_252,0.05,504,253,1039,125.98460057747835,0.0,1039,1.0,0.028873917228103944,0.028873917228103944,30,0.15399422521655437,0.15399422521655437,160,0.37151106833493747,0.37151106833493747,386,426.8055822906641,3.827618255641815,0.6284889316650626,,not reached: only 37.2% of survivors detected within 504d after failure,,,,,
