scenario,sharpe_valid,method,setting,far_target,n_paths,mean_U_at_T_all,median_U_at_T_all,mean_q_at_T_all,median_q_at_T_all,n_survivors_last_alpha,mean_U_at_T_survivors,mean_q_at_T_survivors,survivor_filter_alpha,score_note
gaussian_ctrl,0.6,ewma_trunc_student_t,fixed_T252,,10000,-0.20476287159422862,-0.2031826800457177,0.45448639955988146,0.4493783623057744,9449,-0.28947957347750497,0.4360744351969621,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,0.6,binary_gaussian,random_uniform,,10000,-0.093441325138417,-0.07056182022497472,0.47789605490609965,0.4823668605997661,9826,-0.11210074828321602,0.47360180293753007,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,0.6,binary_student_t,random_uniform,,10000,-0.10766916381206613,-0.07826112053961543,0.4750211885024273,0.48044469988032606,9837,-0.12895147231120876,0.4702966632417473,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,0.6,ewma_student_t,random_uniform,,10000,-0.11081254818154089,-0.08150342590364867,0.4744321969024719,0.4796354154589851,9845,-0.13204000212129607,0.4697688624853639,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
gaussian_ctrl,0.6,ewma_trunc_student_t,random_uniform,,10000,-0.1108514461268057,-0.08150342590364867,0.4744240043233116,0.4796354154589851,9845,-0.1320906263411915,0.4697587087705339,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,1.0,binary_gaussian,fixed_T0,,10000,0.0,0.0,0.5,0.5,10000,0.0,0.5,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,1.0,binary_student_t,fixed_T0,,10000,0.0,0.0,0.5,0.5,10000,0.0,0.5,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,1.0,ewma_student_t,fixed_T0,,10000,0.0,0.0,0.5,0.5,10000,0.0,0.5,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,1.0,ewma_trunc_student_t,fixed_T0,,10000,0.0,0.0,0.5,0.5,10000,0.0,0.5,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,1.0,binary_gaussian,fixed_T126,,10000,-0.25437544208004015,-0.25910079517501516,0.4425302006579244,0.43558476555958187,9674,-0.30881050946673244,0.4310906188968231,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,1.0,binary_student_t,fixed_T126,,10000,-0.3429295929225039,-0.3541549661701592,0.42361868647368256,0.4123752166827813,9670,-0.3978419978971837,0.41178888146922066,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,1.0,ewma_student_t,fixed_T126,,10000,-0.5966515712939491,-0.5022727095469961,0.3899198465846256,0.3770067227457623,9637,-0.6763649968165548,0.3746876920345492,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,1.0,ewma_trunc_student_t,fixed_T126,,10000,-0.6327869772075239,-0.5336728259662977,0.38507507571129945,0.3696606692240717,9651,-0.711292663451543,0.37019934385693576,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,1.0,binary_gaussian,fixed_T252,,10000,-0.49706578290199976,-0.48987104165247786,0.3973996885646647,0.37992394887094005,9252,-0.6342278402818197,0.3694238135898702,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,1.0,binary_student_t,fixed_T252,,10000,-0.6775036981606669,-0.6895043391758043,0.36394734113198335,0.33414334455817485,9177,-0.8332181242184391,0.3316746848581107,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,1.0,ewma_student_t,fixed_T252,,10000,-1.253381312657268,-1.1087226212300727,0.3103135182807583,0.2481091085278308,9131,-1.481174720456753,0.2720814909337456,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,1.0,ewma_trunc_student_t,fixed_T252,,10000,-1.3440401373262172,-1.1850929264174594,0.30300050530093847,0.23413771046039594,9137,-1.5782957989043587,0.2647375514778145,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,1.0,binary_gaussian,random_uniform,,10000,-0.24975634397139762,-0.17807749667605824,0.44501329689562236,0.455597902442098,9675,-0.3020381061552551,0.43417054331280486,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,1.0,binary_student_t,random_uniform,,10000,-0.33996656622552185,-0.2550597632000713,0.4265744962122364,0.43657851336505055,9640,-0.396183660796122,0.4145386545981396,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,1.0,ewma_student_t,random_uniform,,10000,-0.5973843313318983,-0.3652431423181055,0.39617504232493367,0.409690944214286,9642,-0.6711231514530184,0.38255898699453605,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,1.0,ewma_trunc_student_t,random_uniform,,10000,-0.6344535052999652,-0.386576064262953,0.39198464241796005,0.4045418145841724,9651,-0.7089545239924435,0.3784610087258615,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,0.6,binary_gaussian,fixed_T0,,10000,0.0,0.0,0.5,0.5,10000,0.0,0.5,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,0.6,binary_student_t,fixed_T0,,10000,0.0,0.0,0.5,0.5,10000,0.0,0.5,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,0.6,ewma_student_t,fixed_T0,,10000,0.0,0.0,0.5,0.5,10000,0.0,0.5,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,0.6,ewma_trunc_student_t,fixed_T0,,10000,0.0,0.0,0.5,0.5,10000,0.0,0.5,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,0.6,binary_gaussian,fixed_T126,,10000,-0.09262526524802397,-0.09546047710500898,0.4777209199793553,0.4761529872110336,9791,-0.1160118162336677,0.4723970843082464,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,0.6,binary_student_t,fixed_T126,,10000,-0.1243978736192511,-0.129808202209307,0.47024692123746625,0.4675934413674122,9812,-0.14527688770656635,0.4654314516249231,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,0.6,ewma_student_t,fixed_T126,,10000,-0.21507433293641498,-0.18356372445047375,0.4530184280094219,0.45423749655320456,9816,-0.24361601018353538,0.4469669458478091,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,0.6,ewma_trunc_student_t,fixed_T126,,10000,-0.22860228126948373,-0.19460367793418398,0.45046483895312567,0.4515020379495789,9833,-0.2558598440059775,0.4447380891501832,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,0.6,binary_gaussian,fixed_T252,,10000,-0.17823946974119959,-0.1739226249914861,0.45880782584910323,0.45662861757252726,9396,-0.2500941214698171,0.44262138386875294,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,0.6,binary_student_t,fixed_T252,,10000,-0.24377994702763262,-0.24722083220441238,0.4441465588784967,0.43850766481522774,9345,-0.3224737012094572,0.4261625785532954,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,0.6,ewma_student_t,fixed_T252,,10000,-0.4509440783559348,-0.4015870720989665,0.4106384946746665,0.40093108953922024,9324,-0.5705920740690298,0.3864057953724814,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,0.6,ewma_trunc_student_t,fixed_T252,,10000,-0.48391787403391406,-0.4301798711326634,0.4058547270038334,0.39408338082498884,9338,-0.6089830715367606,0.3808627038212715,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,0.6,binary_gaussian,random_uniform,,10000,-0.08989799685902893,-0.05890131470326857,0.47859371324293076,0.4852789271435757,9762,-0.11595693451801536,0.4726950564525351,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,0.6,binary_student_t,random_uniform,,10000,-0.12275937971932199,-0.08614990104534437,0.4709818200122339,0.4784758354393578,9755,-0.14863048714928345,0.4650246998474791,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,0.6,ewma_student_t,random_uniform,,10000,-0.21519011607369457,-0.11865138062360736,0.4545794245798801,0.4703719057775364,9763,-0.25090124168091077,0.4471230679545479,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
sv_jump,0.6,ewma_trunc_student_t,random_uniform,,10000,-0.22874973502347903,-0.12671254374992658,0.45225995283741705,0.46836418164921173,9780,-0.2646676432198843,0.44484493088977983,0.15,"working failure score: a static two-state classifier's q on switching data, not a posterior that models the switch"
